var_name,date,value
nonresidential,1960Q4,8.693
structures,1960Q4,47.799
equipment,1960Q4,5.166
intellectual,1960Q4,3.61
residential,1960Q4,48.018
gdp,1961Q1,20.089
c,1961Q1,18.297
investment,1961Q1,12.281
fixed_i,1961Q1,13.507
nonresidential,1961Q1,8.57
structures,1961Q1,47.582
equipment,1961Q1,4.998
intellectual,1961Q1,3.715
residential,1961Q1,48.213
gdp,1961Q2,20.43
c,1961Q2,18.569
investment,1961Q2,13.142
fixed_i,1961Q2,13.729
nonresidential,1961Q2,8.76
structures,1961Q2,46.789
equipment,1961Q2,5.237
intellectual,1961Q2,3.834
residential,1961Q2,48.405
gdp,1961Q3,20.822
c,1961Q3,18.659
investment,1961Q3,14.164
fixed_i,1961Q3,14.058
nonresidential,1961Q3,8.846
structures,1961Q3,46.816
equipment,1961Q3,5.308
intellectual,1961Q3,3.906
residential,1961Q3,51.045
gdp,1961Q4,21.231
c,1961Q4,19.034
investment,1961Q4,14.398
fixed_i,1961Q4,14.502
nonresidential,1961Q4,9.115
structures,1961Q4,46.57
equipment,1961Q4,5.627
intellectual,1961Q4,3.95
residential,1961Q4,52.783
gdp,1962Q1,21.609
c,1962Q1,19.236
investment,1962Q1,15.174
fixed_i,1962Q1,14.78
nonresidential,1962Q1,9.298
structures,1962Q1,47.444
equipment,1962Q1,5.773
intellectual,1962Q1,3.956
residential,1962Q1,53.702
gdp,1962Q2,21.805
c,1962Q2,19.473
investment,1962Q2,15.055
fixed_i,1962Q2,15.199
nonresidential,1962Q2,9.55
structures,1962Q2,49.173
equipment,1962Q2,5.919
intellectual,1962Q2,3.999
residential,1962Q2,55.366
gdp,1962Q3,22.072
c,1962Q3,19.629
investment,1962Q3,15.31
fixed_i,1962Q3,15.322
nonresidential,1962Q3,9.668
structures,1962Q3,50.469
equipment,1962Q3,5.94
intellectual,1962Q3,4.045
residential,1962Q3,55.322
gdp,1962Q4,22.145
c,1962Q4,19.907
investment,1962Q4,14.862
fixed_i,1962Q4,15.275
